Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	EpLen	AverageVVals	StdVVals	MaxVVals	MinVVals	TotalEnvInteracts	LossPi	LossV	DeltaLossPi	DeltaLossV	Entropy	KL	Time
58	-3957.1135	1182.113	-2775.0005	-5139.2266	100.0	-49.544247	0.24661423	-49.29365	-49.79135	5900	-0.13500442	133908.94	0.0	-520.3125	0.9104713	5.662441e-09	27.102808952331543
60	-1570.7444	1268.4896	-302.25476	-2839.2341	56.5	-51.015953	0.27141693	-50.59787	-51.2879	6100	-0.25483087	46998.24	0.0	-206.7832	0.91016054	5.9604655e-10	28.037070512771606
62	-4688.0005	435.26416	-4252.7363	-5123.2646	100.0	-52.272873	0.49340704	-51.776375	-52.766495	6300	-0.053657737	172272.62	0.0	-719.875	0.9097581	-6.5565113e-09	28.939704656600952
64	-923.6494	223.7518	-699.89764	-1147.4012	35.5	-53.988956	0.359594	-53.625507	-54.35057	6500	-0.122915864	74515.06	0.0	-299.51172	0.90938133	2.0861628e-09	29.864582777023315
66	-4252.5425	1271.7167	-2980.826	-5524.2593	100.0	-55.389194	0.54153115	-54.843258	-55.932175	6700	-0.14360629	148247.4	0.0	-637.21875	0.9090051	1.66893e-08	30.76426100730896
68	-2057.3474	1522.8433	-534.5042	-3580.1907	61.0	-56.77984	0.23368518	-56.53764	-57.01402	6900	-0.07515623	64964.97	0.0	-277.37305	0.90859145	1.3113022e-08	31.69891667366028
70	-3526.4277	246.18323	-3280.2446	-3772.611	100.0	-58.04334	0.3278404	-57.713573	-58.371456	7100	-0.09289993	80685.55	0.0	-381.10547	0.9081923	8.34465e-09	32.6237587928772
72	-3958.8213	751.7363	-3207.085	-4710.5576	100.0	-59.644352	0.50435394	-59.137726	-60.15017	7300	-0.10695998	120597.89	0.0	-548.3008	0.9078225	5.960464e-09	33.553141832351685
74	-3603.504	2488.083	-1115.4208	-6091.587	71.5	-61.46336	0.63523185	-60.826523	-62.09921	7500	-0.18006557	183008.1	0.0	-817.47656	0.9074372	1.013279e-08	34.455585956573486
76	-3812.3552	1092.8811	-2719.474	-4905.2363	100.0	-63.29461	0.49462894	-62.7983	-63.789417	7700	-0.1738452	109885.55	0.0	-490.04688	0.9070064	-5.960464e-09	35.29552865028381
78	-1705.2823	1693.3269	-344.22833	-4092.1748	46.666668	-64.51933	0.19168302	-64.3236	-64.71119	7900	-0.16630906	78522.84	0.0	-315.24805	0.9065399	8.34465e-09	36.20097589492798
80	-920.2363	5.1622314	-915.0741	-925.39856	31.5	-65.77416	0.23981924	-65.530464	-66.01462	8100	-0.12799038	27631.547	0.0	-139.88086	0.9060437	-9.834766e-09	37.15995764732361
82	-1656.3408	1388.9651	-540.66284	-3614.281	50.666668	-66.83049	0.37767512	-66.450874	-67.2094	8300	-0.24510376	55864.67	0.0	-255.9502	0.90554595	8.9406926e-10	38.07004737854004
84	-2345.7607	1904.9847	-440.77612	-4250.7456	58.0	-67.951546	0.32532585	-67.62543	-68.27713	8500	-0.26270428	93174.54	0.0	-465.57812	0.90498257	-7.7486035e-09	38.97910714149475
86	-1850.799	1402.7524	-723.21924	-3828.0933	56.666668	-69.69478	0.44261536	-69.25013	-70.13792	8700	0.00386668	59194.555	0.0	-303.7002	0.9043958	-2.9802322e-10	39.90330243110657
88	-698.25494	161.53362	-472.53772	-841.58405	27.333334	-70.94753	0.38012463	-70.55417	-71.328026	8900	-0.11647612	56169.746	0.0	-244.14844	0.9039109	-5.9604646e-09	40.77090048789978
90	-4350.2715	1496.6958	-2853.5754	-5846.9673	100.0	-72.056	0.29684913	-71.758316	-72.352875	9100	-0.111475274	141118.11	0.0	-779.5508	0.90343225	6.556511e-09	41.68548798561096
92	-1924.8468	1485.5149	-439.33194	-3410.3616	58.0	-74.183235	0.41537508	-73.76701	-74.60256	9300	-0.28828105	70980.05	0.0	-384.5078	0.9029549	-9.834766e-09	42.58290696144104
94	-2409.6453	1574.0046	-835.64075	-3983.65	70.5	-75.81603	0.45801824	-75.35577	-76.27421	9500	-0.09219195	73141.75	0.0	-366.90234	0.9024323	4.4703485e-09	43.46424388885498
96	-2846.1616	1347.6055	-1498.5562	-4193.767	78.5	-77.3276	0.47880062	-76.84824	-77.80654	9700	-0.11437901	70723.695	0.0	-373.07324	0.90194076	5.3644182e-09	44.431631088256836
98	-4587.8506	273.6194	-4314.231	-4861.4697	100.0	-78.81413	0.49606338	-78.30955	-79.31022	9900	-0.07771796	140944.1	0.0	-764.16016	0.9014639	1.847744e-08	45.34720730781555
