Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	EpLen	AverageVVals	StdVVals	MaxVVals	MinVVals	TotalEnvInteracts	LossPi	LossV	DeltaLossPi	DeltaLossV	Entropy	KL	Time
0	-537.09717	215.42761	-321.66956	-752.5248	19.0	0.17400265	0.21578808	0.41009536	-0.25303018	100	-0.06890412	53055.24	0.0	-515.14844	0.91893876	-7.152557e-09	0.3375813961029053
10	-1120.8268	913.371	-381.8853	-3373.019	37.0	-6.811294	3.8861609	2.311909	-12.605161	1100	-0.07571629	68108.06	0.0	-734.98944	0.91871804	-2.6226041e-09	3.716113328933716
20	-1154.3595	1063.415	-190.16428	-3308.0376	39.94737	-17.48758	2.4757628	-13.508586	-21.505919	2100	-0.16086608	56023.926	0.0	-386.05682	0.91740525	-3.3378602e-09	7.260164022445679
30	-1283.968	931.62897	-352.32953	-3492.5576	43.1875	-25.783804	2.824111	-7.4774756	-29.72207	3100	-0.21190158	57468.82	0.0	-486.9957	0.91551864	-2.0265578e-09	10.965176343917847
40	-944.6097	691.58997	-210.73131	-3241.919	31.583334	-34.170593	2.2390459	-30.77441	-37.727825	4100	-0.13393545	46556.48	0.0	-314.97812	0.91315824	1.3113024e-09	14.129653453826904
50	-897.50995	695.79425	-173.04993	-3033.2043	31.5	-42.044056	2.0925064	-38.80259	-45.634163	5100	-0.19137876	38625.95	0.0	-269.86426	0.9109742	-5.9604643e-10	17.35990571975708
60	-1280.9796	1020.4217	-350.917	-3864.403	43.04762	-49.99308	2.252339	-46.42476	-53.66241	6100	-0.18188754	43298.277	0.0	-331.9742	0.90869427	1.847744e-09	20.52158236503601
70	-973.2114	791.33466	-175.4306	-2851.8367	34.666668	-58.383923	2.1823351	-55.00475	-61.83332	7100	-0.15589242	31709.469	0.0	-244.46982	0.90637624	-3.159046e-09	23.666118383407593
80	-762.6498	462.6475	-302.9415	-1784.6567	27.9375	-66.12758	2.3042905	-62.60372	-69.74973	8100	-0.13550067	33395.207	0.0	-267.5502	0.9041487	-1.1920917e-10	26.940476179122925
90	-1105.646	788.8627	-302.28522	-3668.0903	39.0	-74.19777	2.12254	-70.82427	-77.56057	9100	-0.08977483	28842.36	0.0	-227.65244	0.90220815	1.1920927e-10	30.19216227531433
100	-1133.6945	801.48944	-291.00186	-3351.235	39.38889	-82.037674	2.3531675	-78.29958	-85.56639	10100	-0.1896601	29718.287	0.0	-246.69638	0.9005276	2.2053719e-09	33.37307596206665
110	-713.6041	501.92926	-205.65161	-2593.4517	26.181818	-89.03517	1.9221629	-86.407875	-92.27257	11100	-0.14301345	18000.393	0.0	-150.3874	0.89851123	1.2516975e-09	36.651867151260376
120	-888.6754	524.3278	-260.6171	-2924.2327	32.04	-96.51616	2.1501493	-93.14291	-99.789604	12100	-0.13341022	17763.734	0.0	-163.24112	0.89646626	3.5166743e-09	39.80364108085632
130	-619.6899	308.40945	-158.81638	-1489.0258	21.71875	-103.86361	2.171324	-100.524574	-107.087296	13100	-0.16176446	16614.797	0.0	-143.57051	0.8944669	2.9802323e-09	43.00593423843384
140	-941.22797	837.7845	-244.7849	-3608.359	32.041668	-111.33557	2.5893738	-107.59169	-115.60495	14100	-0.110550985	21939.11	0.0	-228.62422	0.8924534	4.1723247e-10	46.27373218536377
150	-757.1927	626.3149	-181.8359	-3265.2869	27.357143	-119.26828	1.8350354	-116.355835	-122.49727	15100	-0.1402338	14679.5625	0.0	-134.42265	0.8906555	-3.9339065e-09	49.44661545753479
